",""Weight_seeds_Top_net"",""Weight_mfl_net"",""Gen"",""Pop"",""Gen_Pop"",""Sampler"",""Date"",""Total_height"",""Plant_Biomass"",""relMRE"""
"76,0.10535,0.0078,5,""5"",""G5_P5"",""Aphia"",""28_07_2020"",81.5,12.63046,0.068935041979673"
"77,0.21165,0.0323500000000001,7,""5"",""G7_P5"",""Aphia"",""28_07_2020"",61.7,12.85681,0.132581967213115"
"78,0.10465,0.02105,7,""3"",""G7_P3"",""Nora"",""28_07_2020"",48,12.94231,0.167462211614956"
"79,0.0488500000000001,0.0104,5,""1"",""G5_P1"",""Nora"",""28_07_2020"",87,8.18236,0.175527426160337"
"80,0.10515,0.0312,5,""3"",""G5_P3"",""Nora"",""28_07_2020"",66,5.66586,0.228822882288229"
"81,0.0456500000000001,0.0902500000000001,6,""1"",""G6_P1"",""Solenn"",""28_07_2020"",71.5,10.57051,0.664091243561442"
"82,0.16365,0.0313500000000001,3,""5"",""G3_P5"",""Solenn"",""28_07_2020"",81.5,10.04611,0.160769230769231"
"83,0.03285,0.13895,6,""5"",""G6_P5"",""Solenn"",""29_07_2020"",76,19.07921,0.808789289871944"
"84,0.0586500000000001,0.0256500000000001,3,""1"",""G3_P1"",""Prosper"",""28_07_2020"",59.5,20.80971,0.304270462633452"
"85,0,0.0647500000000001,6,""5"",""G6_P5"",""Prosper"",""29_07_2020"",76.5,12.73951,1"
"86,0.08665,0.0595500000000001,6,""1"",""G6_P1"",""Prosper"",""29_07_2020"",64.5,15.05251,0.407318741450069"
"87,0.03315,0.07235,5,""1"",""G5_P1"",""Aphia"",""28_07_2020"",78.2,7.56851,0.685781990521327"
"88,0.0558500000000001,0.04295,6,""5"",""G6_P5"",""Aphia"",""29_07_2020"",80.3,12.77781,0.434716599190283"
"89,0.0828500000000001,0.03395,6,""1"",""G6_P1"",""Aphia"",""29_07_2020"",60,12.49731,0.290667808219178"
"90,0.07215,0.22715,3,""3"",""G3_P3"",""Prosper"",""29_07_2020"",68,9.69901,0.758937520882058"
"91,0.0750500000000001,0.0208,6,""3"",""G6_P3"",""Prosper"",""30_07_2020"",81.5,14.00816,0.217005738132498"
"92,0.04435,0.03615,6,""5"",""G6_P5"",""Prosper"",""30_07_2020"",83.5,14.58261,0.449068322981366"
"93,0.14345,0.0850500000000001,5,""1"",""G5_P1"",""Xinji"",""31_07_2020"",90.5,17.06531,0.372210065645515"
"94,0.04595,0.16525,3,""1"",""G3_P1"",""Solenn"",""30_07_2020"",81,12.55151,0.782433712121212"
"95,0.07025,0.03815,6,""1"",""G6_P1"",""Solenn"",""30_07_2020"",80,11.53651,0.351937269372694"
"96,0.04315,0.05135,7,""5"",""G7_P5"",""Solenn"",""30_07_2020"",70.5,13.21951,0.543386243386243"
"97,0.0398500000000001,0,5,""5"",""G5_P5"",""Solenn"",""30_07_2020"",57,5.87336,0"
"98,0.0485500000000001,0.02195,7,""1"",""G7_P1"",""Aphia"",""30_07_2020"",59.5,14.93241,0.311347517730496"
"99,0.0686500000000001,0.0335500000000001,5,""5"",""G5_P5"",""Nora"",""30_07_2020"",80,18.33631,0.328277886497065"
"100,0.0427500000000001,0.05315,7,""3"",""G7_P3"",""Nora"",""30_07_2020"",80,13.70681,0.55422314911366"
"101,0.05205,0.0114500000000001,3,""5"",""G3_P5"",""Aphia"",""30_07_2020"",55.2,4.67821,0.180314960629923"
"102,0.0676500000000001,0.06625,6,""5"",""G6_P5"",""Aphia"",""31_07_2020"",55,15.89631,0.494772218073189"
"103,0.14965,0.0182,5,""1"",""G5_P1"",""Xinji"",""03_08_2020"",93.5,19.38296,0.108430145963658"
"104,0,0.48995,5,""1"",""G5_P1"",""Nora"",""31_07_2020"",77.5,16.89311,1"
"105,0.0870500000000001,0.05825,7,""1"",""G7_P1"",""Nora"",""03_08_2020"",87,13.17651,0.400894700619408"
"106,0,0.0728,6,""5"",""G6_P5"",""Nora"",""03_08_2020"",75,17.36556,1"
"107,0.12735,0.065,6,""5"",""G6_P5"",""Xinji"",""03_08_2020"",87,9.84896,0.337925656355602"
"108,0.0716500000000001,0,3,""3"",""G3_P3"",""Aline"",""06_08_2020"",52,5.84476,0"
"109,0,0.0338,6,""1"",""G6_P1"",""Aline"",""06_08_2020"",89,9.37333,1"
"110,0.0638500000000001,0.10335,5,""5"",""G5_P5"",""Prosper"",""04_08_2020"",74,20.46791,0.618122009569378"
"111,0.06635,0.026,3,""1"",""G3_P1"",""Prosper"",""06_08_2020"",50,2.06066,0.281537628586898"
"112,0.06545,0.04005,7,""5"",""G7_P5"",""Prosper"",""06_08_2020"",84.5,20.23121,0.379620853080569"
"113,0.05245,0.0344500000000001,7,""3"",""G7_P3"",""Nora"",""06_08_2020"",71,15.47111,0.396432681242809"
"114,0,0.0818500000000001,5,""5"",""G5_P5"",""Nora"",""06_08_2020"",81,10.24841,1"
"115,0.06315,0.0192500000000001,3,""5"",""G3_P5"",""Nora"",""06_08_2020"",85.5,9.51831,0.23361650485437"
"116,0,0.03005,6,""1"",""G6_P1"",""Solenn"",""06_08_2020"",82.5,11.62591,1"
"117,0.0454500000000001,0.01985,6,""1"",""G6_P1"",""Nora"",""04_08_2020"",46.5,1.75871,0.303981623277182"
"118,0.08725,0.08745,7,""5"",""G7_P5"",""Aphia"",""06_08_2020"",76.5,11.75401,0.500572409845449"
"119,0.0556500000000001,0.0658500000000001,6,""3"",""G6_P3"",""Aphia"",""06_08_2020"",74.5,7.86431,0.541975308641975"
"120,0.08255,0.0312,3,""1"",""G3_P1"",""Anouck"",""07_08_2020"",92.5,2.62436,0.274285714285714"
"121,0.05515,0.15165,3,""3"",""G3_P3"",""Prosper"",""10_08_2020"",51,2.21131,0.733317214700193"
"122,0.0447500000000001,0.0052,7,""1"",""G7_P1"",""Aphia"",""10_08_2020"",56,3.82046,0.104104104104104"
"123,0,0.03835,5,""1"",""G5_P1"",""Nora"",""06_08_2020"",82,12.32258,1"
"124,0,0.06655,5,""5"",""G5_P5"",""Nora"",""07_08_2020"",71,20.89221,1"
"125,0.0769500000000001,0.0536500000000001,6,""5"",""G6_P5"",""Nora"",""07_08_2020"",70,12.99221,0.410796324655437"
"126,0.0467500000000001,0.14475,6,""5"",""G6_P5"",""Solenn"",""06_08_2020"",83,17.77221,0.755874673629242"
"127,0.17015,0.0578500000000001,3,""1"",""G3_P1"",""Solenn"",""10_08_2020"",57.5,7.34401,0.253728070175439"
"128,0.06925,0.02405,6,""1"",""G6_P1"",""Solenn"",""10_08_2020"",95,21.63791,0.257770632368703"
"129,0.0375500000000001,0.052,3,""1"",""G3_P1"",""Anouck"",""10_08_2020"",73,12.81986,0.580681183696258"
"130,0,0.16545,6,""5"",""G6_P5"",""Anouck"",""10_08_2020"",81,13.59921,1"
"131,0.0297500000000001,0.04995,6,""5"",""G6_P5"",""Anouck"",""11_08_2020"",109.5,17.19298,0.626725219573399"
"132,0.03835,0.11775,5,""3"",""G5_P3"",""Anouck"",""11_08_2020"",76,23.46821,0.754324151185138"
